"gene"	"entrez"	"MCF7"	"VCAP"	"MCF7_s"	"X22RV1"	"LNCAP_s"	"DU145"	"LNCAP_g"	"PC3"
"ACAA2"	10449	0.16620141	-0.07768284	-0.14230214	0.10229525	0.03390965	-0.06142827	-0.0113101101975	-0.199750651882
"ACACA"	31	-0.5605769	-0.2057124	-0.5681582	-0.3480507	-0.4140202	-0.323649	-0.640460133119	-0.764335826243
"ACACB"	32	0.1048812	-0.1031574	-0.16734856	-0.11126971	-0.00181547	-0.21198296	-0.0610831382939	0.148025916359
"ACAD10"	80724	0.3822099	-0.239803	-0.02776357	-0.16983825	-0.16178938	-0.38806995	0.049604171432	-0.333622121536
"ACAD11"	84129	0.10131817	-0.09057377	-0.23845647	0.041560819	-0.005838561	-0.100314453	-0.000702910629801	-0.0348895957615
"ACAD8"	27034	0.17737074	-0.01742203	-0.09778316	0.05060538	-0.16103037	-0.09684183	0.154640015871	0.416060061114
"ACAD9"	28976	-0.2742939	-0.4486132	-0.8048782	-0.4556906	-0.3084378	-0.3977758	-0.0208229121288	-0.0240583650917
"ACADL"	33	-0.1960621	-0.07273339	-0.134235279	-0.003083248	-0.049368175	0.080351075	0.294632652037	0.634228360174
"ACADM"	34	-0.4712877	-0.0424967	0.05878258	0.01470574	0.13547805	-0.01995943	0.160786234703	0.546454306485
"ACADS"	35	-0.059676	-0.08439267	-0.01661977	0.02639435	0.01823928	-0.2142056	-0.0471646372859	-0.152952173602
"ACADSB"	36	-0.08415457	-0.23174619	-0.1607031	-0.1207641	-0.1157968	-0.1483721	-0.085746126839	-0.512048256587
"ACADVL"	37	-0.1755749	-0.1263343	0.07764692	-0.15859447	-0.03280346	0.08362508	-0.0317889565162	0.0186624183493
"ACAN"	176	0.08795855	-0.12068367	0.07538408	0.25695572	-0.17815371	0.0248133	-0.264941055834	-0.0687038007513
"ACAP1"	9744	-0.16382796	-0.05666622	0.316502	0.1580593	0.2622542	0.1774547	-0.250583680915	-0.468632400159
"ACAP2"	23527	-0.2268253	0.1529291	-0.3973806	0.1034923	-0.261832	-0.2168621	0.0397208265927	0.245947528775
"ACAP3"	116983	-0.3984911	-0.2541868	-0.25755431	-0.06289197	-0.30565915	-0.2190754	-0.371665734708	-0.680882188493
"ACAT1"	38	0.5388796	0.3835938	-0.1435494	-0.1977302	-0.2645367	-0.1889647	-0.117126658364	-0.247627450509
"ACAT2"	39	0.1693594	0.1607914	0.2917511	-0.32885042	0.13076824	0.05884404	0.29064397044	0.489518435793
"ACBD3"	64746	-0.2158503	-0.1488693	0.2780751	-0.10383663	0.13218007	0.05255177	-0.00414437953661	-0.328560687592
"ACBD4"	79777	0.023532466	-0.007539227	-0.335965854	0.001860955	-0.215134059	-0.229502406	-0.149149530958	0.370579673645
"ACBD5"	91452	-0.09789335	0.16847677	-0.002170904	0.155663499	0.132965557	0.117957531	0.105201389895	0.353242828528
